synonym,target
sword-art-online-alternative,gun-gale-online
apocalypse-zero,kakugo-no-susume
if-my-heart-had-wings,kono-oozora-ni-tsubasa-wo-hirogete
omoide-no-marnie,when-marnie-was-there
uchuu-yori-mo-tooi-basho,sora-yori-mo-tooi-basho
a-place-further-than-the-universe,sora-yori-mo-tooi-basho
yorimoi,sora-yori-mo-tooi-basho
desuma,death-march
death-march-to-the-parallel-world,death-march
death-march-kara-hajimeru-isekai,death-march
to-you-the-immortal,to-your-eternity
fumetsu-no-anata-e,to-your-eternity
koi-wa-ameagari-no-you-ni,after-the-rain
kyuuyaku-seisho-monogatari,in-the-beginning-the-bible-stories
poptepipic,pop-team-epic
poputepipikku,pop-team-epic
papakiki,listen-to-me-girls-i-am-your-father
kujira-no-kora-wa-sajou-ni-utau,children-of-the-whales
papa-no-iukoto-wo-kikinasai,listen-to-me-girls-i-am-your-father
oofuri,big-windup
ookiku-furikabutte,big-windup
kindaichi-shounen-no-jikenbo,the-kindaichi-case-files
restaurant-to-another-world,isekai-shokudou
nekojiru-sou,cat-soup
recovery-of-an-mmo-junkie,net-juu-no-susume
zodiac-war,juuni-taisen
saint-young-men,saint-oniisan
busou-shoujo-machiavellianism,armed-girls-machiavellism
konbini-kareshi,convenience-store-boy-friends
jieitai-kanochi-nite-kaku-tatakaeri,gate
jikan-no-shihaisha,chronos-ruler
seiyus-life,sore-ga-seiyuu
mousou-dairinin,paranoia-agent
nekogami-yaoyorozu,everyday-tales-of-cat-god
yamato-nadeshiko-shichi-henge,the-wallflower
cosmic-baton-girl-princess-comet,princess-comet
comet-san,princess-comet
vatican-kiseki-chousakan,vatican-miracle-examiner
my-first-girlfriend-is-a-gal,hajimete-no-gal
yuki-wa-jigoku-ni-ochiru-no-ka,will-yuki-fall-into-hell
showa-genroku-rakugo-shinju,rakugo-shinju
shouwa-genroku-rakugo-shinjuu,rakugo-shinju
dprk,north-korea
the-testament-of-sister-new-devil,shinmai-mao-no-testament
undefeated-bahamut-chronicle,saijaku-muhai-no-bahamut
altair-a-record-of-battles,shoukoku-no-altair
ballroom-e-youkoso,welcome-to-the-ballroom
kimi-no-suizou-wo-tabetai,i-want-to-eat-your-pancreas
as-the-moon-so-beautiful,tsuki-ga-kirei
musekinin-kanchou-tylor,the-irresponsible-captain-tylor
musekinin-galaxy-tylor,the-irresponsible-galaxy-tylor
oretsuba,oretachi-ni-tsubasa-wa-nai
noucome,noukome
my-mental-choices-are-completely,noukome
ore-no-nounai-sentakushi-ga-gakuen,noukome
the-disappearance-of-nagato-yuki,nagato-yuki-chan-no-shoushitsu
beautiful-bones,sakurako-san
sakurako-san-no-ashimoto-ni-wa,sakurako-san
chivalry-of-a-failed-knight,rakudai-kishi-no-cavalry
a-town-where-you-rage,kimi-no-iru-machi
a-town-where-you-live,kimi-no-iru-machi
wizard-barristers-benmashi-cecil,wizard-barristers
chaika-the-coffin-princess,hitsugi-no-chaika
code-geass-boukoku-no-akito,code-geass-akito-the-exiled
kamisama-no-inai-nichiyoubi,sunday-without-god
i-cant-understand-what-my-husband,danna-wakaranai-ken
blood-blockade-battlefront,kekkai-sensen
tengen-toppa-gurren-lagann,gurren-lagann
the-flower-we-saw-that-day,anohana
shingetsutan-tsukihime,tsukihime
bishoujo-senshi-sailor-moon,sailor-moon
starting-life-in-another-world,re-zero
zero-kara-hajimeru-isekai-seikatsu,re-zero
my-youth-romantic-comedy-is-wrong,oregairu
my-teen-romantic-comedy-snafu,oregairu
yahari-ore-no-seishun-love-come-wa,oregairu
yahari-ore-no-seishun-rabukome-wa,oregairu
maji-de-watashi-ni-koi-shinasai,majikoi
kimi-ga-aruji-de-ore-ga-shitsuji-de,kimiaru
kuroko-no-basuke,kuroko-no-basket
kurosagi-shitai-takuhaibin,kurosagi-corpse-delivery-service
the-ambition-of-oda-nobuna,oda-nobuna-no-yabou
sakurada-reset,sagrada-reset
kabaneri-of-the-iron-fortress,koutetsujou-no-kabaneri
ushinawareta-mirai-wo-motomete,in-search-of-lost-future
ef-a-tale-of-melodies,ef-a-fairy-tale-of-the-two
ef-a-tale-of-memories,ef-a-fairy-tale-of-the-two
ground-control-psychoelectric-girl,denpa-onna-to-seishun-otoko
ryuugajou-nanana-no-maizoukin,nananas-buried-treasure
blade-dance-of-the-elementalers,seirei-tsukai-no-blade-dance
danshi-koukousei-no-nichijou,daily-lives-of-high-school-boys
sekai-seifuku-bouryaku-no-zvezda,world-conquest-zvezda-plot
coquelicot-zaka-kara,from-up-on-poppy-hill
gundam-tekketsu-no-orphans,gundam-iron-blooded-orphans
love-election-and-chocolate,koi-to-senkyo-to-chocolate
soremachi,soredemo-machi-wa-mawatteiru
tanaka-kun-wa-itsumo-kedaruge,tanaka-kun-is-always-listless
princess-and-the-pilot,the-princess-and-the-pilot
toaru-hikuushi-e-no-tsuioku,the-princess-and-the-pilot
toaru-hikuushi-e-no-koiuta,the-pilots-love-song
shinryaku-ika-musume,squid-girl
shingeki-no-bahamut-genesis,shingeki-no-bahamut
shingeki-no-bahamut-virgin-soul,shingeki-no-bahamut
problem-children-are-coming-from,mondaiji
mondaijitachi-ga-isekai-kara-kuru,mondaiji
watashi-ga-motete-dousun-da,kiss-him-not-me
kobayashi-san-chi-no-maid-dragon,miss-kobayashis-dragon-maid
kobayashi-san-chi-no-maidragon,miss-kobayashis-dragon-maid
hanairo-blossoms-for-tomorrow,hanasaku-iroha
the-lucifer-and-the-biscuit-hammer,hoshi-no-samidare
when-supernatural-battles-became,inou-battle
inou-battle-wa-nichijoukei-no-naka,inou-battle
gochuumon-wa-usagi-desu-ka,is-the-order-a-rabbit
fma-series,fullmetal-alchemist-series
fma-milos-no-seinaru-hoshi,fma-sacred-star-of-milos
what-are-you-doing-at-the-end,worldend
shuumatsu-nani-shitemasu-ka,worldend
umineko-when-they-cry,umineko-no-naku-koro-ni
fushigi-no-umi-no-nadia,nadia-the-secret-of-blue-water
monmusu,monster-musume-no-iru-nichijou
udon-no-kuni-no-kiniro-kemari,pocos-udon-world
how-to-raise-a-boring-girlfriend,saenai-heroine-no-sodatekata
saekano,saenai-heroine-no-sodatekata
sono-hanabira-ni-kuchizuke-wo,sono-hanabira
the-world-is-still-beautiful,soredemo-sekai-wa-utsukushii
soreseka,soredemo-sekai-wa-utsukushii
nausicaa,nausicaa-of-the-valley-of-the-wind
baka-and-test-summon-the-beasts,baka-and-test
baka-to-test-to-shoukanjuu,baka-and-test
snow-white-with-the-red-hair,akagami-no-shirayukihime
the-hentai-prince-and-the-stony-cat,hentai-ouji-to-warawanai-neko
henneko,hentai-ouji-to-warawanai-neko
jinrui-wa-suitai-shimashita,humanity-has-declined
kikou-shoujo-wa-kizutsukanai,unbreakable-machine-doll
haganai,boku-wa-tomodachi-ga-sukunai
gakuen-mokushiroku,highschool-of-the-dead
gargantia-on-the-verdurous-planet,suisei-no-gargantia
sakurasou-no-pet-na-kanojo,the-pet-girl-of-sakurasou
yamada-kun-to-7nin-no-majo,yamada-and-the-7-witches
yamada-kun-to-nananin-no-majo,yamada-and-the-7-witches
the-irregular-at-magic-high-school,mahouka-koukou-no-rettousei
shijou-saikyou-no-deshi-kenichi,historys-strongest-disciple-kenichi
kenichi,historys-strongest-disciple-kenichi
nagi-asu-a-lull-in-the-sea,nagi-no-asukara
try-to-pick-up-girls-in-a-dungeon,danmachi
is-it-wrong-to-try-to-pick-up-girls,danmachi
dungeon-ni-deai-wo-motomeru-no-wa,danmachi
danna-ga-nani-wo-itteiru-ka,danna-wakaranai-ken
watashi-ga-motenai-no-wa-dou,watamote
negima-magister-negi-magi,negima
mahou-sensei-negima,negima
ano-hi-mita-hana-no-namae-wo,anohana
kono-subarashii-sekai-ni-shukufuku,konosuba
suzumiya-haruhi,haruhi-suzumiya
my-little-sister-cant-be-this-cute,oreimo
ore-no-imouto-ga-konna-ni-kawaii,oreimo
the-basketball-which-kuroko-plays,kuroko-no-basket
gits-stand-alone-complex,ghost-in-the-shell-sac
toaru-kagaku-no-railgun,a-certain-scientific-railgun
mahou-shoujo-lyrical-nanoha,nanoha
mahou-shoujo-madoka-magica,madoka-magica
fma-brotherhood,fullmetal-alchemist-brotherhood
tobaku-mokushiroku-kaiji,kaiji
gyakkou-burai-kaiji,kaiji
girl-beats-boys,kenka-banchou-otome
what-do-you-do-at-the-end,worldend
sukasuka,worldend
phoenix-wright,ace-attorney
oh-samurai-girls,majikoi
they-are-my-noble-masters,kimiaru
scums-wish,kuzu-no-honkai
we-love-rice,love-kome
the-asterisk-war,gakusen-toshi-asterisk
sweet-blue-flowers,aoi-hana
seikaisuru-kado,kado-the-right-answer
heavens-feel,fate-stay-night
unlimited-blade-works,fate-stay-night
spaghetti-the-anime,watamote
no-matter-how-you-look-at,watamote
familia-myth,danmachi
sword-oratoria,danmachi
try-to-pick-up-girls-in-a,danmachi
wrong-to-try-to-pick-up,danmachi
girls-in-a-dungeon,danmachi
is-it-wrong-to-try-to,danmachi
little-princess-sarah,princess-sarah
watashi-ga-motenai-no-wa,watamote
sen-chihiro-kamikakushi,spirited-away
sen-to-chihiro-no,spirited-away
undersea-encounter,kaitei-daisensou
cybot-robocchi,robby-the-rascal
cybot-robotchi,robby-the-rascal
please-psammea-don,onegai-samia-don
arata-the-legend,arata-kangatari
genma-taisen,genma-wars
jungle-wa-itsumo-hare,hare-guu
the-kings-avatar,quan-zhi-gao-shou
ninja-the-wonder-boy,manga-sarutobi-sasuke
my-love-story,ore-monogatari
master-mosquiton,master-of-mosquiton
nijuuseiki-shounen,20th-century-boys
teito-monogatari,doomed-megalopolis
palme-no-ki,a-tree-of-palme
higurashi-when-they-cry,higurashi-no-naku-koro-ni
mahou-no-stage-fancy-lala,fancy-lala
douwa-meita-windaria,windaria
baou-raihousha,baoh
rakuen-no-reijou-tachi,rakuen-no-arisu-tachi
isekai-kaikitan,another-door
aoki-hagane-no-arpeggio,arpeggio-of-blue-steel
monster-farm,monster-rancher
ganmu,battle-angel-alita
gunnm,battle-angel-alita
ufo-princess-valkyrie,ufo-ultramaiden-valkyrie
sennen-joyuu,millennium-actress
juushin-enbu,hero-tales
hime-chans-ribbon,hime-chan-no-ribbon
yuusha-keisatsu-j-decker,brave-police-j-decker
lostorage-incited-wixoss,wixoss
kuro-to-kin-no-akanai,kuro-kin-akanai-kagi
otome-wa-boku-ni-koi,otoboku
kiss-on-my-deity,tayutama
kyokkoku-no-tsubasa,legend-of-lemnear
dream-eater-merry,yumekui-merry
mashin-eiyuuden-wataru,mashin-hero-wataru
shibou-to-iu-na-no-fuku,in-the-clothes-called-fat
astarottes-toy,lotte-no-omocha
astarotte-no-omocha,lotte-no-omocha
honoo-no-labyrinth,labyrinth-of-flames
the-devil-is-a-part-timer,hataraku-maou-sama
jarinko-chie,chie-the-brat
terra-e,toward-the-terra
katekyou-hitman-reborn,reborn
parasyte-the-maxim,parasyte
haifuri,high-school-fleet
don-don-dommel-to-ron,wowser
cubitus,wowser
