synonym,target
lsm,linux-security-module
d8-dexer,android-d8
r8,android-r8
removable-drive,removable-storage
phalconphp,phalcon
microsoft-visual-c++,visual-c++
sap-nco,sap-dotnet-connector
sap-connector,sap-dotnet-connector
java-ee-web-profile,jakarta-ee
java-ee,jakarta-ee
dropbox-js,dropbox-sdk-js
google-linechart,google-visualization
lazyload,lazy-loading
css-transform,css-transforms
svg-transform,svg-transforms
nullablereferencetypes,nullable-reference-types
scalaz-zio,zio
admanager,google-ad-manager
codeigniter-htaccess,.htaccess
powerautomate,power-automate
microsoft-flow,power-automate
ms-flow,power-automate
perl6,raku
html-layout,layout
htmllayout,layout
serverside-rendering,server-side-rendering
ssr,server-side-rendering
schtasks,windows-task-scheduler
windows-scheduler,windows-task-scheduler
windowstaskschedule,windows-task-scheduler
schtasks.exe,windows-task-scheduler
open-graph-protocol,facebook-opengraph
aurelia-form,aurelia
aurelia-ux,aurelia
aurelia-testing,aurelia
aurelia-bundling,aurelia
tfs2005,tfs-2005
tfs2015,tfs-2015
tfs2013,tfs-2013
tfs2010,tfs-2010
tfs2012,tfs-2012
tfs2017,tfs-2017
tfs2008,tfs-2008
tfs2018,tfs-2018
stackframe,stack-frame
snowflake-connector-python,snowflake-data-warehouse
snowflake-datawarehouse,snowflake-data-warehouse
watch-os-2-beta3,watchos-2-beta3
watch-os-6,watchos-6
watch-os-5,watchos-5
watch-os-4,watchos-4
watch-os-3,watchos-3
watch-os,watchos
watch-os-2,watchos-2
isotope,jquery-isotope
news-feed,feed
hit-testing,hittest
hit-test,hittest
health-kit,healthkit
uinavigation,uinavigationcontroller
kotlinx.serialisation,kotlinx.serialization
kentico-cloud,kentico-kontent
atlassian-localstack,localstack
class-template-argument-deduction,template-argument-deduction
template-deduction,template-argument-deduction
itunes-connect,app-store-connect
itunesconnect,app-store-connect
appstoreconnect,app-store-connect
ecr× 6 ,amazon-ecr
kinesis,amazon-kinesis
beanstalk,amazon-elastic-beanstalk
infrastructure-as-a-code,infrastructure-as-code
bigquery,google-bigquery
azure-search,azure-cognitive-search
snowflake,snowflake-data-warehouse
meson,meson-build
sigsegv,segmentation-fault
wpfgrid,wpf-grid
google-drive-api-v3,google-drive-api
ibm-cloud-private-for-data,cloud-pak-for-data
relativelayout× 2388 ,android-relativelayout
android-10.0-q,android-10.0
androidq,android-10.0
riotjs× 76 ,riot.js
perl5× 137 ,perl
chrome-mobile,mobile-chrome
bigquery-standard-sql× 325 ,google-bigquery
bigquery-ml,google-bigquery
python-bigquery× 29 ,google-bigquery
okhttp3× 1345 ,okhttp
npmjs× 51 ,npm
sqlparameters,sqlparameter
mathdotnet,math.net
twiml,twilio-twiml
pop-up,popup
ibm-personal-communications,ibm-pcomm
jeasyui,jquery-easyui
allow-same-origin,same-origin-policy
google-script,google-apps-script
machine-config,machine.config
lsm,linux-security-module
d8-dexer,android-d8
r8,android-r8
removable-drive,removable-storage
phalconphp,phalcon
microsoft-visual-c++,visual-c++
sap-nco,sap-dotnet-connector
sap-connector,sap-dotnet-connector
java-ee-web-profile,jakarta-ee
java-ee,jakarta-ee
dropbox-js,dropbox-sdk-js
google-linechart,google-visualization
lazyload,lazy-loading
css-transform,css-transforms
svg-transform,svg-transforms
nullablereferencetypes,nullable-reference-types
scalaz-zio,zio
admanager,google-ad-manager
codeigniter-htaccess,.htaccess
powerautomate,power-automate
microsoft-flow,power-automate
ms-flow,power-automate
perl6,raku
html-layout,layout
htmllayout,layout
serverside-rendering,server-side-rendering
ssr,server-side-rendering
schtasks,windows-task-scheduler
windows-scheduler,windows-task-scheduler
windowstaskschedule,windows-task-scheduler
schtasks.exe,windows-task-scheduler
open-graph-protocol,facebook-opengraph
aurelia-form,aurelia
aurelia-ux,aurelia
aurelia-testing,aurelia
aurelia-bundling,aurelia
tfs2005,tfs-2005
tfs2015,tfs-2015
tfs2013,tfs-2013
tfs2010,tfs-2010
tfs2012,tfs-2012
tfs2017,tfs-2017
tfs2008,tfs-2008
tfs2018,tfs-2018
stackframe,stack-frame
snowflake-connector-python,snowflake-data-warehouse
snowflake-datawarehouse,snowflake-data-warehouse
watch-os-2-beta3,watchos-2-beta3
watch-os-6,watchos-6
watch-os-5,watchos-5
watch-os-4,watchos-4
watch-os-3,watchos-3
watch-os,watchos
watch-os-2,watchos-2
isotope,jquery-isotope
news-feed,feed
hit-testing,hittest
hit-test,hittest
health-kit,healthkit
uinavigation,uinavigationcontroller
kotlinx.serialisation,kotlinx.serialization
kentico-cloud,kentico-kontent
atlassian-localstack,localstack
class-template-argument-deduction,template-argument-deduction
template-deduction,template-argument-deduction
itunes-connect,app-store-connect
itunesconnect,app-store-connect
appstoreconnect,app-store-connect
ecr× 6 ,amazon-ecr
kinesis,amazon-kinesis
beanstalk,amazon-elastic-beanstalk
infrastructure-as-a-code,infrastructure-as-code
bigquery,google-bigquery
azure-search,azure-cognitive-search
snowflake,snowflake-data-warehouse
meson,meson-build
sigsegv,segmentation-fault
wpfgrid,wpf-grid
google-drive-api-v3,google-drive-api
ibm-cloud-private-for-data,cloud-pak-for-data
relativelayout× 2388 ,android-relativelayout
android-10.0-q,android-10.0
androidq,android-10.0
riotjs× 76 ,riot.js
perl5× 137 ,perl
chrome-mobile,mobile-chrome
bigquery-standard-sql× 325 ,google-bigquery
bigquery-ml,google-bigquery
python-bigquery× 29 ,google-bigquery
okhttp3× 1345 ,okhttp
npmjs× 51 ,npm
sqlparameters,sqlparameter
mathdotnet,math.net
twiml,twilio-twiml
pop-up,popup
ibm-personal-communications,ibm-pcomm
jeasyui,jquery-easyui
allow-same-origin,same-origin-policy
google-script,google-apps-script
machine-config,machine.config
lsm,linux-security-module
d8-dexer,android-d8
r8,android-r8
removable-drive,removable-storage
phalconphp,phalcon
microsoft-visual-c++,visual-c++
sap-nco,sap-dotnet-connector
sap-connector,sap-dotnet-connector
java-ee-web-profile,jakarta-ee
java-ee,jakarta-ee
dropbox-js,dropbox-sdk-js
google-linechart,google-visualization
lazyload,lazy-loading
css-transform,css-transforms
svg-transform,svg-transforms
nullablereferencetypes,nullable-reference-types
scalaz-zio,zio
admanager,google-ad-manager
codeigniter-htaccess,.htaccess
powerautomate,power-automate
microsoft-flow,power-automate
ms-flow,power-automate
perl6,raku
html-layout,layout
htmllayout,layout
serverside-rendering,server-side-rendering
ssr,server-side-rendering
schtasks,windows-task-scheduler
windows-scheduler,windows-task-scheduler
windowstaskschedule,windows-task-scheduler
schtasks.exe,windows-task-scheduler
open-graph-protocol,facebook-opengraph
aurelia-form,aurelia
aurelia-ux,aurelia
aurelia-testing,aurelia
aurelia-bundling,aurelia
tfs2005,tfs-2005
tfs2015,tfs-2015
tfs2013,tfs-2013
tfs2010,tfs-2010
tfs2012,tfs-2012
tfs2017,tfs-2017
tfs2008,tfs-2008
tfs2018,tfs-2018
stackframe,stack-frame
snowflake-connector-python,snowflake-data-warehouse
snowflake-datawarehouse,snowflake-data-warehouse
watch-os-2-beta3,watchos-2-beta3
watch-os-6,watchos-6
watch-os-5,watchos-5
watch-os-4,watchos-4
watch-os-3,watchos-3
watch-os,watchos
watch-os-2,watchos-2
isotope,jquery-isotope
news-feed,feed
hit-testing,hittest
hit-test,hittest
health-kit,healthkit
uinavigation,uinavigationcontroller
kotlinx.serialisation,kotlinx.serialization
kentico-cloud,kentico-kontent
atlassian-localstack,localstack
class-template-argument-deduction,template-argument-deduction
template-deduction,template-argument-deduction
itunes-connect,app-store-connect
itunesconnect,app-store-connect
appstoreconnect,app-store-connect
ecr× 6 ,amazon-ecr
kinesis,amazon-kinesis
beanstalk,amazon-elastic-beanstalk
infrastructure-as-a-code,infrastructure-as-code
bigquery,google-bigquery
azure-search,azure-cognitive-search
snowflake,snowflake-data-warehouse
meson,meson-build
sigsegv,segmentation-fault
wpfgrid,wpf-grid
google-drive-api-v3,google-drive-api
ibm-cloud-private-for-data,cloud-pak-for-data
relativelayout× 2388 ,android-relativelayout
android-10.0-q,android-10.0
androidq,android-10.0
riotjs× 76 ,riot.js
perl5× 137 ,perl
chrome-mobile,mobile-chrome
bigquery-standard-sql× 325 ,google-bigquery
bigquery-ml,google-bigquery
python-bigquery× 29 ,google-bigquery
okhttp3× 1345 ,okhttp
npmjs× 51 ,npm
sqlparameters,sqlparameter
mathdotnet,math.net
twiml,twilio-twiml
pop-up,popup
ibm-personal-communications,ibm-pcomm
jeasyui,jquery-easyui
allow-same-origin,same-origin-policy
google-script,google-apps-script
machine-config,machine.config
lsm,linux-security-module
d8-dexer,android-d8
r8,android-r8
removable-drive,removable-storage
phalconphp,phalcon
microsoft-visual-c++,visual-c++
sap-nco,sap-dotnet-connector
sap-connector,sap-dotnet-connector
java-ee-web-profile,jakarta-ee
java-ee,jakarta-ee
dropbox-js,dropbox-sdk-js
google-linechart,google-visualization
lazyload,lazy-loading
css-transform,css-transforms
svg-transform,svg-transforms
nullablereferencetypes,nullable-reference-types
scalaz-zio,zio
admanager,google-ad-manager
codeigniter-htaccess,.htaccess
powerautomate,power-automate
microsoft-flow,power-automate
ms-flow,power-automate
perl6,raku
html-layout,layout
