Id,PostHistoryTypeId,PostId
100,6,41
225,6,6
227,6,72
293,6,142
384,6,128
393,6,164
406,6,3
456,6,3
457,6,33
458,6,36
459,6,95
460,6,128
461,6,167
463,6,182
464,6,219
467,6,8
468,6,8
560,6,280
667,6,261
760,6,374
780,6,142
785,6,304
799,6,226
813,6,400
851,6,427
852,6,427
855,6,324
856,6,327
857,6,352
861,6,326
864,6,348
866,6,424
886,6,422
899,6,426
954,6,427
1008,6,505
1028,6,120
1041,6,93
1042,6,517
1043,6,513
1044,6,463
1047,6,182
1050,6,95
1055,6,513
1056,6,522
1090,6,540
1162,6,540
1174,6,515
1261,6,622
1270,6,620
1281,6,617
1363,6,674
1370,6,678
1398,6,691
1401,6,694
1402,6,692
1403,6,693
1406,6,693
1407,6,690
1453,6,684
1519,6,47
1526,6,754
1558,6,765
1562,6,766
1571,6,454
1577,6,773
1579,6,776
1580,6,766
1583,6,454
1584,6,765
1596,6,760
1613,6,732
1618,6,694
1638,6,804
1644,6,804
1718,6,847
1719,6,834
1786,6,889
1787,6,889
1799,6,897
1801,6,494
1802,6,282
1803,6,277
1804,6,72
1806,6,47
1846,6,916
1871,6,933
1884,6,943
1907,6,798
2029,6,1028
2030,6,833
2032,6,831
2060,6,1050
2076,6,999
2176,6,1081
2182,6,1102
2273,6,1039
2326,6,1193
2340,6,1204
2395,6,813
2396,6,505
2398,6,915
2399,6,798
2400,6,908
2401,6,962
2408,6,1233
2438,6,1245
2439,6,1087
2450,6,1247
2567,6,1303
2610,6,1325
2611,6,1325
2619,6,1283
2625,6,1324
2711,6,889
2712,6,787
2718,6,1364
2723,6,1383
2830,6,1436
2852,6,1442
2884,6,1463
2948,6,1502
2958,6,1273
2961,6,1275
3026,6,1387
3032,6,1552
3049,6,1459
3058,6,1571
3059,6,1557
3061,6,1570
3161,6,1626
3199,6,1644
3205,6,1647
3274,6,1686
3275,6,1686
3311,6,1702
3315,6,1704
3321,6,1700
3376,6,1732
3414,6,1759
3418,6,1758
3419,6,1752
3421,6,1718
3460,6,1780
3461,6,1780
3464,6,1743
3466,6,1145
3470,6,1708
3477,6,1786
3517,6,1801
3586,6,1830
3591,6,1712
3605,6,1846
3607,6,1846
3611,6,1832
3616,6,343
3617,6,814
3622,6,1733
3660,6,1844
3699,6,1656
3722,6,1600
3728,6,1909
3738,6,1918
3765,6,1919
3767,6,1926
3773,6,15
3779,6,307
3780,6,1938
3790,6,1942
3852,6,1974
3863,6,1978
3864,6,1974
3868,6,1982
3907,6,1889
3942,6,1618
4011,6,2038
4024,6,2054
4025,6,1866
4065,6,2073
4080,6,2013
4085,6,1986
4090,6,2081
4137,6,2103
4147,6,1708
4152,6,1324
4153,6,1624
4154,6,1463
4160,6,2115
4162,6,1866
4163,6,193
4164,6,713
4193,6,339
4194,6,1317
4195,6,1759
4196,6,1668
4199,6,1044
4203,6,99
4204,6,205
4207,6,2130
4271,6,2160
4292,6,2147
4293,6,2130
4297,6,2163
4299,6,2154
4300,6,2167
4333,6,1618
4334,6,2182
4335,6,1307
4336,6,1102
4358,6,2198
4366,6,1307
4409,6,2199
4432,6,2206
4439,6,2216
4440,6,1918
4441,6,1802
4442,6,193
4443,6,248
4463,6,2219
4467,6,2246
4475,6,2246
4508,6,2266
4510,6,2266
4573,6,2281
4600,6,2316
4616,6,2321
4623,6,2258
4637,6,2294
4638,6,2246
4639,6,1360
4640,6,1908
4641,6,1662
4642,6,1557
4643,6,47
4644,6,522
4661,6,2256
4664,6,2337
4701,6,1986
4702,6,1966
4703,6,1874
4704,6,1943
4705,6,1956
4706,6,1352
4707,6,1233
4737,6,2351
4749,6,2379
4755,6,2386
4777,6,2392
4785,6,2399
4817,6,2399
4825,6,2405
4844,6,2424
4858,6,2436
4869,6,1982
4902,6,2454
4903,6,2448
4912,6,2458
4920,6,2424
4957,6,2473
4967,6,2473
4981,6,2470
4993,6,2495
5015,6,2493
5030,6,2507
5039,6,2508
5040,6,2517
5067,6,1871
5088,6,2428
5093,6,324
5094,6,2544
5099,6,2544
5112,6,2522
5165,6,2578
5170,6,2580
5171,6,2580
5193,6,3
5222,6,2605
5223,6,2601
5225,6,2597
5230,6,2606
5251,6,2605
5253,6,2456
5274,6,2624
5286,6,2631
5304,6,2635
5323,6,2652
5333,6,2502
5335,6,2655
5337,6,2216
5342,6,2652
5400,6,2684
5404,6,2628
5406,6,2616
5407,6,2461
5410,6,2014
5411,6,2151
5414,6,2251
5415,6,1366
5416,6,1537
5417,6,1273
5418,6,1281
5420,6,2685
5435,6,1816
5436,6,1816
5558,6,2759
5581,6,2773
5597,6,2781
5613,6,2711
5615,6,2301
5616,6,1318
5617,6,2151
5618,6,2710
5619,6,2728
5622,6,2707
5626,6,2707
5655,6,2781
5689,6,1767
5701,6,2817
5705,6,2829
5724,6,2830
5746,6,7
5748,6,2825
5756,6,2825
5757,6,2840
5758,6,2852
5759,6,2835
5760,6,2815
5764,6,2837
5779,6,2825
5796,6,2866
5803,6,2857
5805,6,992
5807,6,33
5808,6,36
5812,6,1813
5846,6,2888
5847,6,2890
5852,6,2890
5890,6,2904
5891,6,2596
5979,6,2953
5981,6,2952
5982,6,2951
6010,6,2677
6018,6,2970
6036,6,2980
6046,6,2522
6049,6,2970
6050,6,2436
6088,6,3006
6089,6,3006
6122,6,3024
6136,6,2920
6137,6,3024
6138,6,3022
6139,6,3008
6140,6,3002
6141,6,2997
6142,6,2977
6143,6,2968
6184,6,3031
6217,6,3043
6234,6,3050
6235,6,3076
6236,6,3070
6237,6,3057
